phage	coverage
uvig_279244	0.234196
uvig_434195	0.29489
uvig_201414	0.286422
uvig_573393	0.145443
uvig_594812	0.149043
uvig_573395	0.797436
uvig_184691	0.135206
uvig_184693	0.192766
uvig_399849	0.508202
uvig_441180	0.111374
uvig_267631	0.237132
uvig_204653	0.316665
uvig_204654	0.112876
uvig_537580	0.329196
uvig_269020	0.13306
uvig_269021	0.120576
uvig_191685	0.137736
uvig_269022	0.16094
uvig_154023	0.542652
uvig_561780	0.139237
uvig_74683	0.141138
uvig_293229	0.150386
uvig_326641	0.261454
uvig_211644	0.305269
uvig_389625	0.29804
uvig_389626	0.193912
uvig_211648	0.162972
uvig_213036	0.152255
uvig_352237	0.416113
uvig_38874	0.123426
uvig_333630	0.244569
uvig_181464	0.121334
uvig_375196	0.146926
uvig_375197	0.155991
uvig_220022	0.193635
uvig_527367	0.113622
uvig_220024	0.525493
uvig_138662	0.147553
uvig_398008	0.112881
uvig_90050	0.161047
uvig_138666	0.186557
uvig_497180	0.187022
uvig_201421	0.397959
uvig_497181	0.137746
uvig_164258	0.418666
uvig_340622	0.105073
uvig_457015	0.145883
uvig_457017	0.124222
uvig_340628	0.122068
uvig_399851	0.363071
uvig_481215	0.225406
uvig_147044	0.108561
uvig_145659	0.536951
uvig_171240	0.181768
uvig_284856	0.109595
uvig_147048	0.164435
uvig_286249	0.117115
uvig_438419	0.284267
uvig_167495	0.273523
uvig_204663	0.129314
uvig_204664	0.167303
uvig_167498	0.122834
uvig_464008	0.14059
uvig_419813	0.153545
uvig_191698	0.111328
uvig_269035	0.213274
uvig_306203	0.540031
uvig_304817	0.138924
uvig_422597	0.191818
uvig_148892	0.159427
uvig_74697	0.19415
uvig_148894	0.129808
uvig_230258	0.189602
uvig_563187	0.106016
uvig_289484	0.161749
uvig_211651	0.324045
uvig_405381	0.228437
uvig_389636	0.114971
uvig_465855	0.115544
uvig_276022	0.140045
uvig_465856	0.176662
uvig_389639	0.1081
uvig_465858	0.108945
uvig_213047	0.209951
uvig_491442	0.234129
uvig_527370	0.127261
uvig_448647	0.272763
uvig_398014	0.127027
uvig_279261	0.122469
uvig_164260	0.192147
uvig_279264	0.207959
uvig_277879	0.164947
uvig_201434	0.19681
uvig_455633	0.234279
uvig_47269	0.171963
uvig_71464	0.141022
uvig_71466	0.194557
uvig_221880	0.116954
uvig_145664	0.109977
uvig_399863	0.344267
uvig_399865	0.186744
uvig_147055	0.350743
uvig_145669	0.100216
uvig_438421	0.113686
uvig_28667	0.118805
uvig_128450	0.140789
uvig_462626	0.455908
uvig_462629	0.186286
uvig_54259	0.195956
uvig_306215	0.172264
uvig_293244	0.125602
uvig_465865	0.143649
uvig_465866	0.254918
uvig_213055	0.304476
uvig_78914	0.183157
uvig_389649	0.158
uvig_78915	0.269277
uvig_313202	0.243407
uvig_78918	0.325654
uvig_428209	0.136513
uvig_178701	0.297567
uvig_448651	0.252454
uvig_296484	0.119493
uvig_448655	0.336156
uvig_296488	0.106034
uvig_472851	0.185141
uvig_333656	0.166874
uvig_64483	0.357704
uvig_138680	0.140313
uvig_64486	0.110299
uvig_64488	0.116433
uvig_335049	0.366739
uvig_90072	0.105166
uvig_279270	0.115621
uvig_279272	0.138161
uvig_90075	0.437242
uvig_279278	0.229348
uvig_596230	0.212156
uvig_147063	0.252493
uvig_284877	0.126467
uvig_284878	0.219756
uvig_438435	0.417229
uvig_462631	0.112762
uvig_323437	0.192846
uvig_462634	0.296866
uvig_323438	0.108361
uvig_12706	0.354874
uvig_128466	0.175731
uvig_154051	0.123683
uvig_154057	0.164968
uvig_389650	0.105146
uvig_465870	0.101205
uvig_465871	0.102219
uvig_389653	0.162495
uvig_78928	0.158228
uvig_570195	0.266798
uvig_452419	0.317958
uvig_448661	0.106833
uvig_309466	0.1228
uvig_296495	0.169417
uvig_309468	0.116622
uvig_398030	0.146979
uvig_85911	0.201396
uvig_472865	0.240049
uvig_472869	0.147695
uvig_64499	0.337039
uvig_201456	0.108742
uvig_145680	0.171006
uvig_594858	0.193407
uvig_481244	0.187237
uvig_481248	0.190897
uvig_284884	0.13473
uvig_171275	0.126765
uvig_244716	0.185419
uvig_244717	0.24581
uvig_171278	0.119589
uvig_12711	0.2497
uvig_244719	0.331026
uvig_462648	0.220422
uvig_54279	0.111954
uvig_188947	0.104623
uvig_251704	0.132317
uvig_445436	0.351043
uvig_586026	0.417497
uvig_389663	0.138672
uvig_389665	0.208696
uvig_197326	0.113998
uvig_389669	0.102735
uvig_78937	0.164862
uvig_276057	0.182802
uvig_428226	0.125423
uvig_309472	0.123285
uvig_7632	0.13694
uvig_587873	0.241674
uvig_472871	0.130725
uvig_7634	0.204725
uvig_474262	0.135021
uvig_409629	0.279866
uvig_511432	0.112865
uvig_85926	0.192153
uvig_574417	0.514382
uvig_185713	0.137192
uvig_261938	0.469684
uvig_145692	0.283588
uvig_71497	0.136317
uvig_145695	0.322596
uvig_557209	0.184084
uvig_168509	0.336325
uvig_462655	0.234475
uvig_12725	0.115441
uvig_54287	0.104234
uvig_269071	0.207509
uvig_306244	0.194249
uvig_37072	0.122812
uvig_97543	0.159858
uvig_230299	0.105069
uvig_471030	0.139434
uvig_37079	0.181056
uvig_584647	0.11313
uvig_471033	0.497264
uvig_389676	0.171254
uvig_234500	0.138155
uvig_326699	0.125749
uvig_234506	0.105319
uvig_428238	0.2239
uvig_309482	0.397532
uvig_591634	0.105707
uvig_309484	0.138084
uvig_215901	0.38372
uvig_409633	0.241871
uvig_409634	0.364688
uvig_398053	0.153921
uvig_335075	0.254697
uvig_85935	0.162952
uvig_472889	0.133276
uvig_511447	0.395643
uvig_185722	0.209951
uvig_594874	0.307901
uvig_286291	0.147158
uvig_171290	0.11491
uvig_286292	0.168727
uvig_171291	0.340849
uvig_168514	0.399015
uvig_94318	0.253086
uvig_171292	0.174869
uvig_171293	0.185727
uvig_168519	0.665151
uvig_464050	0.277668
uvig_462663	0.266479
uvig_171299	0.461319
uvig_383936	0.110018
uvig_54298	0.224651
uvig_128497	0.81926
uvig_154080	0.127788
uvig_188968	0.170339
uvig_227521	0.156416
uvig_419865	0.218614
uvig_251720	0.131848
uvig_251721	0.172699
uvig_366725	0.176444
uvig_293287	0.222425
uvig_293288	0.237736
uvig_366729	0.352773
uvig_21110	0.105713
uvig_208923	0.146629
uvig_208925	0.150956
uvig_21114	0.149581
uvig_197342	0.34606
uvig_197346	0.785971
uvig_197349	0.248178
uvig_491492	0.174212
uvig_567443	0.15732
uvig_313245	0.114212
uvig_309493	0.245675
uvig_448691	0.224625
uvig_309495	0.127163
uvig_409640	0.131323
uvig_309497	0.908876
uvig_217302	0.15129
uvig_100915	0.160699
uvig_241504	0.281632
uvig_337901	0.635252
uvig_185734	0.123974
uvig_222901	0.172582
uvig_418021	0.24061
uvig_168525	0.120152
uvig_323470	0.231709
uvig_168528	0.333909
uvig_462670	0.1547
uvig_323475	0.120363
uvig_577675	0.127332
uvig_383949	0.287089
uvig_269090	0.403608
uvig_227530	0.193996
uvig_227534	0.135627
uvig_112535	0.243386
uvig_304877	0.412053
uvig_251732	0.160351
uvig_251735	0.320617
uvig_584665	0.152846
uvig_445469	0.235398
uvig_330467	0.174566
uvig_97569	0.165573
uvig_389690	0.191323
uvig_471055	0.171709
uvig_276087	0.416125
uvig_488726	0.109521
uvig_260117	0.153814
uvig_178756	0.100223
uvig_409652	0.145219
uvig_593048	0.315294
uvig_511460	0.156594
uvig_85959	0.112623
uvig_68742	0.37482
uvig_222915	0.317966
uvig_187136	0.271056
uvig_478502	0.284816
uvig_339308	0.139234
uvig_68747	0.367563
uvig_224306	0.303508
uvig_457088	0.391916
uvig_224307	0.295798
uvig_224308	0.140764
uvig_342089	0.115881
uvig_168532	0.490386
uvig_168533	0.764064
uvig_168536	0.162883
uvig_205705	0.172902
uvig_168539	0.138668
uvig_188981	0.15895
uvig_188984	0.153301
uvig_501243	0.109355
uvig_188988	0.125147
uvig_366741	0.110879
uvig_227545	0.31976
uvig_112544	0.421742
uvig_366743	0.156916
uvig_445471	0.273623
uvig_366747	0.131188
uvig_4435	0.30433
uvig_97577	0.232644
uvig_208941	0.26506
uvig_195970	0.101194
uvig_21133	0.456109
uvig_208949	0.1031
uvig_452463	0.116987
uvig_593051	0.172472
uvig_593055	0.205196
ivig_3246	0.183193
uvig_409664	0.147093
uvig_398080	0.111616
uvig_217328	0.3648
uvig_380720	0.186836
uvig_380722	0.214966
uvig_185754	0.355303
uvig_185755	0.226192
uvig_339313	0.232163
uvig_457094	0.346538
uvig_339317	0.28077
uvig_363511	0.55989
uvig_224317	0.158034
uvig_68759	0.278503
uvig_481297	0.266225
uvig_244760	0.298327
uvig_205710	0.17012
uvig_168546	0.244348
uvig_205713	0.114369
uvig_438496	0.248236
uvig_459914	0.624864
uvig_205716	0.764803
uvig_188993	0.277877
uvig_464086	0.186025
uvig_464089	0.187999
uvig_419895	0.160294
uvig_304894	0.238098
uvig_419899	0.255268
uvig_445482	0.110921
uvig_112557	0.341621
uvig_466904	0.102277
uvig_466906	0.109648
uvig_466907	0.105533
uvig_197372	0.218814
uvig_197376	0.103895
uvig_313272	0.203652
uvig_197379	0.130352
uvig_178776	0.160992
uvig_7682	0.25888
uvig_593069	0.100419
uvig_217335	0.108273
uvig_380730	0.226964
uvig_87367	0.180939
uvig_87369	0.114865
uvig_185760	0.174776
uvig_382125	0.101436
uvig_185762	0.116695
uvig_382127	0.166636
uvig_382128	0.122887
uvig_185768	0.100382
uvig_337936	0.337801
uvig_68763	0.133273
uvig_261987	0.282662
uvig_363524	0.625396
uvig_557254	0.121313
uvig_363525	0.483464
uvig_363529	0.265771
uvig_244770	0.160016
uvig_244771	0.102838
uvig_205722	0.131357
uvig_207110	0.224677
uvig_207111	0.10639
uvig_244776	0.133918
uvig_207113	0.192003
uvig_244779	0.148415
uvig_464091	0.234212
uvig_464092	0.122178
uvig_207118	0.39095
uvig_464094	0.227901
uvig_194147	0.186299
uvig_464098	0.180292
uvig_77145	0.44558
uvig_97591	0.163611
uvig_306296	0.151155
uvig_112568	0.792557
uvig_584690	0.293113
uvig_584693	0.10077
uvig_468302	0.215778
uvig_330499	0.196273
uvig_4459	0.184389
uvig_214109	0.183173
uvig_21153	0.105763
uvig_21154	0.277182
uvig_492506	0.186623
uvig_195998	0.222415
uvig_428281	0.137891
uvig_234553	0.151138
uvig_197389	0.137737
uvig_588902	0.390512
uvig_449706	0.181536
uvig_567486	0.161819
uvig_313288	0.105805
uvig_593071	0.158822
uvig_102342	0.334697
uvig_185774	0.26028
uvig_261993	0.165852
uvig_224330	0.157286
uvig_261999	0.238902
uvig_418065	0.322524
uvig_515706	0.110466
uvig_244785	0.212152
uvig_194150	0.175454
uvig_205737	0.428638
uvig_12784	0.951914
ivig_565	0.202688
uvig_4462	0.101527
uvig_390973	0.139414
uvig_468319	0.30505
uvig_197391	0.127245
uvig_471098	0.196013
uvig_197398	0.735593
uvig_197399	0.14142
uvig_260152	0.14834
uvig_412322	0.361969
ivig_3271	0.110235
uvig_178793	0.152461
uvig_178794	0.130195
uvig_412327	0.241054
uvig_551524	0.213006
uvig_178797	0.209595
uvig_100964	0.409991
uvig_100967	0.106222
uvig_495751	0.37498
uvig_495753	0.145626
uvig_495758	0.339828
uvig_382148	0.108858
uvig_185785	0.164462
uvig_187176	0.356074
uvig_339345	0.103468
uvig_187178	0.120499
uvig_400711	0.114477
uvig_52811	0.195245
uvig_244790	0.17879
uvig_244792	0.112558
uvig_541302	0.534192
uvig_207132	0.16256
uvig_194164	0.102892
uvig_383997	0.14122
uvig_231336	0.169866
ivig_571	0.365221
uvig_366782	0.118587
uvig_466932	0.317444
uvig_468320	0.111082
uvig_466934	0.290111
uvig_390984	0.3206
uvig_468322	0.100322
uvig_466935	0.151074
uvig_21174	0.18248
uvig_208986	0.114972
uvig_492525	0.176353
uvig_21177	0.151521
uvig_21178	0.22475
uvig_21179	0.308161
uvig_412331	0.230871
uvig_100976	0.354336
uvig_508738	0.255887
uvig_382151	0.165544
uvig_380765	0.245869
uvig_380769	0.292515
uvig_339351	0.256541
uvig_339352	0.334731
uvig_337965	0.262889
uvig_418080	0.157081
uvig_185798	0.164039
uvig_339354	0.147977
uvig_222967	0.118734
uvig_337969	0.284492
uvig_402113	0.215471
uvig_541310	0.157627
uvig_402115	0.44405
uvig_205750	0.158622
uvig_541315	0.155197
uvig_459954	0.409883
uvig_194172	0.385705
uvig_77176	0.343386
uvig_227592	0.236338
uvig_109815	0.283762
uvig_524104	0.109074
uvig_109816	0.465742
uvig_327741	0.104727
uvig_327749	0.348447
uvig_274603	0.259482
uvig_208993	0.202191
uvig_274607	0.722357
uvig_18405	0.236231
uvig_208994	0.19261
uvig_588930	0.119944
uvig_449735	0.306713
uvig_217377	0.140669
uvig_380771	0.123692
uvig_458110	0.33033
uvig_382161	0.155415
uvig_382166	0.351873
uvig_458118	0.233193
uvig_337971	0.372202
uvig_597316	0.151788
uvig_187193	0.320631
uvig_337975	0.113811
uvig_363561	0.375532
uvig_94391	0.101005
uvig_557298	0.184143
uvig_541326	0.172778
uvig_231355	0.136835
uvig_77183	0.21653
uvig_522720	0.212089
uvig_522721	0.129257
uvig_77187	0.10012
ivig_595	0.261819
uvig_468340	0.172514
uvig_466957	0.136102
uvig_274615	0.165394
uvig_18418	0.103959
uvig_42613	0.186438
uvig_42614	0.131888
uvig_488790	0.165864
uvig_118208	0.22943
uvig_588944	0.907336
uvig_25403	0.46366
uvig_25407	0.965253
uvig_25408	0.169053
uvig_123800	0.16631
uvig_532952	0.290477
uvig_458121	0.160309
uvig_458125	0.130096
uvig_597326	0.629638
uvig_222983	0.230769
uvig_517130	0.252141
uvig_52846	0.149529
uvig_194192	0.250127
uvig_77192	0.196874
uvig_77193	0.111873
uvig_485565	0.240501
uvig_291838	0.116215
uvig_77197	0.308279
uvig_329152	0.125724
uvig_329153	0.18916
uvig_329154	0.3568
uvig_505522	0.404453
uvig_42622	0.307259
uvig_260191	0.216952
uvig_142413	0.122012
uvig_475341	0.691891
uvig_283005	0.322394
uvig_102394	0.291385
uvig_51004	0.290894
uvig_217398	0.188895
uvig_125201	0.368982
uvig_241593	0.178629
uvig_495793	0.369393
uvig_379401	0.337357
uvig_515755	0.123417
uvig_402144	0.155087
uvig_13804	0.151629
uvig_400759	0.193702
uvig_541343	0.202409
uvig_541349	0.185017
uvig_152647	0.254326
uvig_522744	0.110883
uvig_522745	0.12723
uvig_466971	0.158762
uvig_403993	0.133546
uvig_135437	0.43143
uvig_329167	0.181062
uvig_135439	0.156277
uvig_84191	0.215517
uvig_18436	0.408022
uvig_492563	0.343854
uvig_84193	0.142963
uvig_44022	0.203979
uvig_44023	0.165344
uvig_116836	0.428891
uvig_116839	0.104389
uvig_336151	0.243925
uvig_257424	0.272231
uvig_410989	0.136896
uvig_281629	0.107952
uvig_125211	0.145604
uvig_125212	0.125534
uvig_532973	0.407353
uvig_534367	0.221981
uvig_458149	0.188368
uvig_290007	0.251698
uvig_339395	0.118658
uvig_290008	0.263699
uvig_515767	0.105653
uvig_386403	0.118318
uvig_132209	0.377315
uvig_402157	0.110145
uvig_541356	0.107981
uvig_541358	0.108742
uvig_541359	0.150439
uvig_344994	0.114088
uvig_459997	0.123368
uvig_291850	0.301573
uvig_228605	0.241101
uvig_228606	0.203179
uvig_231385	0.187016
uvig_228608	0.417294
uvig_135440	0.350899
uvig_135442	0.277233
uvig_135444	0.376976
uvig_426811	0.768576
uvig_18444	0.117191
uvig_531131	0.332494
uvig_525990	0.222329
uvig_116847	0.343725
uvig_525994	0.111642
uvig_588976	0.169119
uvig_588977	0.149009
uvig_142438	0.21467
uvig_281638	0.204543
uvig_264421	0.359469
uvig_597351	0.21164
uvig_517165	0.198613
uvig_247218	0.110056
uvig_13826	0.556375
uvig_228614	0.238982
uvig_291860	0.306481
uvig_367813	0.152273
uvig_228617	0.220851
uvig_228619	0.108459
uvig_115005	0.116785
uvig_231398	0.261861
uvig_522769	0.283788
uvig_274651	0.345299
ivig_1800	0.105416
uvig_449784	0.141425
uvig_449786	0.249262
uvig_336171	0.116367
uvig_142442	0.810752
uvig_449788	0.117296
uvig_281642	0.12835
uvig_25441	0.236399
uvig_588989	0.266418
uvig_25443	0.114769
uvig_320200	0.318565
uvig_320202	0.127326
uvig_283036	0.110107
uvig_512547	0.325641
uvig_283039	0.20872
uvig_512548	0.123404
uvig_512549	0.251676
uvig_508791	0.146066
uvig_123843	0.28242
uvig_320209	0.324496
uvig_555802	0.107896
uvig_440802	0.202319
uvig_515786	0.302649
uvig_517174	0.354761
uvig_132227	0.243638
uvig_152678	0.137145
uvig_35673	0.101811
uvig_522771	0.141158
uvig_367827	0.132026
uvig_367829	0.317674
uvig_524167	0.13363
uvig_468390	0.151616
uvig_329194	0.145552
uvig_135466	0.293952
uvig_468393	0.321914
uvig_329199	0.128012
uvig_311833	0.115458
ivig_1815	0.187625
ivig_1816	0.404677
uvig_449796	0.138233
uvig_142454	0.131138
uvig_281651	0.164511
uvig_512558	0.1069
uvig_123857	0.231356
uvig_379443	0.121744
uvig_301610	0.121073
uvig_303005	0.260004
uvig_442202	0.160596
uvig_442203	0.100538
uvig_106646	0.296897
uvig_106649	0.909836
uvig_132232	0.14981
uvig_132236	0.300111
uvig_13845	0.155858
uvig_541382	0.320427
uvig_541383	0.218408
uvig_402188	0.526873
uvig_228630	0.143663
uvig_152680	0.33924
uvig_541388	0.102544
uvig_541389	0.272766
uvig_367830	0.160262
uvig_152684	0.180663
uvig_367831	0.175514
uvig_152685	0.730513
uvig_152688	0.26719
uvig_367836	0.298329
uvig_367837	0.37134
uvig_109886	0.106993
uvig_61271	0.188517
uvig_22225	0.173098
uvig_61278	0.179053
uvig_22227	0.297646
uvig_274672	0.192756
uvig_489820	0.119045
uvig_311841	0.152362
uvig_505571	0.234228
uvig_18477	0.174467
uvig_237019	0.403721
uvig_44065	0.196279
uvig_118267	0.325399
uvig_475393	0.430629
uvig_475394	0.442056
uvig_123863	0.103689
uvig_440825	0.296643
uvig_106651	0.129282
uvig_442216	0.255776
uvig_440829	0.145097
uvig_442217	0.163683
uvig_541390	0.218658
uvig_538613	0.193587
uvig_402196	0.432094
uvig_132249	0.136604
uvig_541395	0.307135
uvig_423616	0.166001
uvig_15246	0.256828
uvig_562816	0.132776
uvig_367840	0.183334
uvig_152694	0.303443
uvig_562819	0.147741
uvig_152695	0.290866
uvig_367846	0.166747
uvig_369233	0.124972
uvig_254234	0.193508
uvig_58503	0.128141
uvig_58505	0.126382
uvig_58506	0.127465
uvig_61284	0.120301
uvig_82702	0.235287
uvig_545607	0.177856
uvig_430606	0.155343
uvig_135484	0.118894
uvig_156902	0.172582
uvig_39902	0.141838
uvig_311855	0.134784
uvig_505586	0.445978
uvig_44075	0.122459
uvig_44077	0.347093
uvig_116888	0.168492
uvig_116889	0.218901
uvig_531178	0.161138
uvig_25470	0.260386
uvig_498215	0.241591
uvig_123870	0.159954
uvig_51061	0.126491
uvig_238876	0.31806
uvig_458194	0.161189
uvig_458196	0.178083
uvig_290050	0.106486
uvig_290053	0.13537
uvig_303025	0.156221
uvig_301638	0.222681
uvig_440835	0.664324
uvig_303029	0.311106
uvig_290059	0.135583
uvig_245868	0.300511
uvig_538622	0.264952
uvig_132257	0.283075
uvig_538626	0.40488
uvig_367852	0.212736
uvig_367853	0.2362
uvig_367854	0.384507
uvig_98680	0.103112
uvig_367857	0.180739
uvig_115046	0.138548
uvig_58511	0.126631
uvig_58513	0.192935
uvig_254248	0.292728
uvig_61292	0.354634
uvig_547000	0.109948
uvig_524196	0.30052
uvig_58517	0.134876
uvig_430613	0.166956
uvig_524199	0.136903
uvig_571200	0.138977
uvig_547007	0.323569
uvig_571202	0.257631
uvig_505591	0.203722
uvig_297500	0.120339
uvig_158304	0.12323
uvig_18497	0.110999
uvig_426868	0.199989
uvig_39916	0.261458
uvig_505597	0.229357
uvig_297506	0.132178
ivig_1840	0.103888
uvig_65502	0.112399
uvig_376239	0.123842
uvig_531186	0.117684
uvig_118286	0.283974
uvig_396681	0.111522
uvig_278902	0.136567
uvig_548859	0.214723
uvig_498224	0.346854
uvig_238885	0.125486
uvig_379470	0.128496
uvig_379472	0.160721
uvig_379473	0.183398
uvig_290060	0.116821
uvig_301645	0.108791
uvig_555844	0.26555
uvig_204	0.234122
uvig_440847	0.19147
uvig_247262	0.115382
uvig_245878	0.105264
uvig_271461	0.290813
uvig_386466	0.28812
uvig_15263	0.352815
uvig_562831	0.194468
uvig_149936	0.177375
uvig_562839	0.267024
uvig_58525	0.122562
uvig_430622	0.1114
uvig_82722	0.45773
uvig_158310	0.116258
uvig_426871	0.119751
uvig_22259	0.165828
uvig_237040	0.361644
uvig_571215	0.146508
uvig_158315	0.221287
uvig_39923	0.288949
uvig_237044	0.104756
uvig_158318	0.174266
uvig_182519	0.151108
uvig_139712	0.175971
uvig_139713	0.131996
ivig_1859	0.156101
uvig_139718	0.399099
uvig_548862	0.203812
uvig_165300	0.172181
uvig_278915	0.127876
uvig_548867	0.123761
uvig_283084	0.101853
uvig_512593	0.212905
uvig_320251	0.730792
uvig_283089	0.123359
uvig_123894	0.106782
uvig_51085	0.158003
uvig_123896	0.180914
uvig_123898	0.339563
uvig_51089	0.137286
uvig_264482	0.138468
uvig_379487	0.212881
uvig_212	0.131466
uvig_290071	0.164539
uvig_555855	0.109754
uvig_440853	0.346817
uvig_216	0.110864
uvig_1202	0.153763
uvig_245881	0.540392
uvig_92959	0.125528
uvig_245884	0.214703
uvig_247275	0.553017
uvig_247278	0.260715
uvig_149942	0.467218
uvig_310034	0.116437
uvig_149945	0.640192
uvig_149946	0.106988
uvig_149949	0.411489
uvig_58530	0.161108
uvig_351902	0.106074
uvig_22266	0.125321
uvig_311881	0.130273
uvig_571225	0.158124
uvig_156938	0.100925
uvig_571229	0.278762
uvig_489866	0.471255
uvig_311888	0.412916
ivig_1864	0.232241
uvig_554018	0.207328
uvig_283093	0.158415
uvig_548878	0.176774
uvig_146711	0.131985
uvig_561001	0.369357
uvig_416663	0.243259
uvig_146719	0.427645
uvig_287303	0.137064
uvig_440862	0.127107
uvig_440864	0.1656
uvig_440865	0.507334
uvig_55300	0.591129
uvig_518204	0.232114
uvig_108083	0.116889
uvig_245892	0.280902
uvig_581454	0.115761
uvig_442259	0.193585
uvig_129506	0.274161
uvig_13892	0.128558
uvig_538657	0.126556
uvig_271489	0.227128
uvig_228683	0.108168
uvig_228687	0.10056
uvig_58541	0.129994
uvig_58544	0.172682
uvig_254278	0.231648
uvig_311891	0.14744
uvig_156947	0.135921
uvig_528432	0.751573
uvig_311899	0.359398
uvig_528435	0.84925
uvig_376269	0.122885
ivig_1874	0.107799
uvig_91121	0.122345
uvig_554026	0.460494
uvig_552639	0.204659
uvig_163937	0.180747
uvig_509837	0.287447
uvig_498252	0.44719
