amp.id	length
uvig_64107_18	70
uvig_64107_19	154
uvig_64107_20	70
uvig_64107_21	64
uvig_64107_22	66
uvig_64107_23	73
uvig_64107_25	289
uvig_64107_26	132
uvig_64107_27	225
uvig_64107_28	69
uvig_66907_3	75
uvig_66907_5	178
uvig_66907_6	62
uvig_66907_7	286
uvig_66907_8	261
uvig_66907_10	44
uvig_66907_11	55
uvig_66907_12	103
uvig_66907_13	132
uvig_66907_14	132
uvig_66907_15	130
uvig_74555_1	74
uvig_74555_2	62
uvig_74555_3	50
uvig_74555_4	86
uvig_74555_5	145
uvig_74555_6	111
uvig_74555_7	240
uvig_74555_9	125
uvig_74555_10	76
uvig_74555_12	72
uvig_74555_13	243
uvig_74555_14	121
uvig_74555_20	149
uvig_74555_21	233
uvig_74555_22	56
uvig_74768_1	218
uvig_74768_2	148
uvig_74768_3	216
uvig_74768_4	110
uvig_74768_5	101
uvig_74768_6	108
uvig_74768_8	72
uvig_74768_10	111
uvig_74768_11	224
uvig_74768_12	269
uvig_74768_13	282
uvig_74768_14	157
uvig_74768_15	161
uvig_74768_17	141
uvig_74768_18	79
uvig_74768_19	74
uvig_74768_20	71
uvig_74768_22	124
uvig_74768_23	97
uvig_75025_1	190
uvig_75025_2	254
uvig_75025_5	122
uvig_75025_6	70
uvig_75025_7	256
uvig_75025_9	104
uvig_75025_10	174
uvig_75025_12	195
uvig_75025_13	184
uvig_75025_14	291
uvig_75025_15	71
uvig_75025_16	83
uvig_75025_17	60
uvig_75025_18	78
uvig_75025_19	256
uvig_75025_20	250
uvig_75025_23	191
uvig_75025_24	133
uvig_75025_26	280
uvig_75025_27	127
uvig_75025_29	121
uvig_75025_30	70
uvig_75025_32	215
uvig_75025_34	208
uvig_75025_35	210
uvig_75025_36	295
uvig_75025_39	231
uvig_75025_41	184
uvig_75025_42	90
uvig_75025_45	262
uvig_75025_46	155
uvig_75025_49	208
uvig_75025_50	188
uvig_75025_51	170
uvig_75025_54	102
uvig_75025_55	215
uvig_75025_56	198
uvig_75025_57	143
uvig_77482_2	71
uvig_77482_3	161
uvig_77482_4	74
uvig_77482_5	180
uvig_77482_7	75
uvig_77482_8	71
uvig_78016_1	37
uvig_78016_2	139
uvig_78016_4	76
uvig_78016_5	109
uvig_78016_6	113
uvig_78016_7	137
uvig_78016_8	276
uvig_78016_9	234
uvig_78016_10	75
uvig_78016_11	61
uvig_78016_12	220
uvig_78016_14	42
uvig_78016_15	56
uvig_78016_16	108
uvig_78016_17	63
uvig_78016_18	73
uvig_78016_19	84
uvig_78016_20	276
uvig_81464_1	244
uvig_81464_2	68
uvig_81464_3	94
uvig_81464_4	75
uvig_81464_5	262
uvig_81464_6	79
uvig_81464_7	176
uvig_81464_8	206
uvig_81464_11	141
uvig_81464_13	148
uvig_81464_15	43
uvig_81464_17	100
uvig_81464_18	133
uvig_81464_19	144
uvig_81464_20	103
uvig_81464_21	70
uvig_81464_23	146
uvig_81464_24	101
uvig_81464_26	299
uvig_81464_27	198
uvig_81464_29	215
uvig_81464_30	74
uvig_81464_31	94
uvig_81464_32	100
uvig_81464_33	269
uvig_81464_34	159
uvig_83342_1	41
uvig_83342_4	197
uvig_83342_6	117
uvig_83342_7	186
uvig_83342_8	81
uvig_83342_9	151
uvig_83342_10	127
uvig_83342_11	227
uvig_83342_13	104
uvig_83342_17	117
uvig_83342_19	126
uvig_83342_20	107
uvig_83342_21	169
uvig_83342_23	129
uvig_83342_24	127
uvig_83342_25	97
uvig_83342_26	183
uvig_83342_27	187
uvig_83342_29	126
uvig_83342_30	117
uvig_83342_32	192
uvig_83342_33	98
uvig_83342_34	90
uvig_83342_35	63
uvig_83342_36	216
uvig_83342_38	268
uvig_83342_40	262
uvig_83342_43	92
uvig_83342_44	23
uvig_86209_1	78
uvig_86209_2	206
uvig_86209_3	114
uvig_86209_4	137
uvig_86209_5	31
uvig_86209_6	103
uvig_86209_8	95
uvig_86209_9	138
uvig_86209_10	177
uvig_86209_11	69
uvig_86209_13	81
uvig_86209_14	227
uvig_86209_15	274
uvig_86209_16	77
uvig_86209_17	189
uvig_86209_19	128
uvig_86209_20	65
uvig_86209_21	238
uvig_86209_23	219
uvig_86209_26	249
uvig_86209_27	245
uvig_86209_28	59
uvig_86209_29	70
uvig_86209_30	70
uvig_86209_31	192
uvig_86209_33	249
uvig_86209_34	149
uvig_88310_1	274
uvig_88310_3	120
uvig_88310_6	116
uvig_88310_7	189
uvig_88310_8	46
uvig_88310_10	280
uvig_88310_11	62
uvig_88310_12	93
uvig_88880_2	176
uvig_88880_6	160
uvig_88880_8	131
uvig_88880_9	153
uvig_88880_10	79
uvig_88880_11	193
uvig_88880_12	163
uvig_88880_13	73
uvig_88880_14	227
uvig_88880_16	260
uvig_88880_17	49
uvig_88880_18	198
uvig_88880_19	128
uvig_88880_20	114
uvig_88880_21	141
uvig_88880_22	270
uvig_88880_23	201
uvig_88880_26	85
uvig_88880_27	138
uvig_88880_28	117
uvig_88880_29	211
uvig_89698_1	202
uvig_89698_2	64
uvig_89698_3	71
uvig_89698_4	91
uvig_89698_6	107
uvig_89698_7	216
uvig_89698_8	113
uvig_89698_9	193
uvig_89698_10	162
uvig_89698_11	56
uvig_89698_12	155
uvig_89698_13	286
uvig_89698_14	66
uvig_92124_1	78
uvig_92124_4	81
uvig_92124_5	142
uvig_92124_6	62
uvig_92124_8	122
uvig_92124_9	82
uvig_92124_10	230
uvig_92124_11	143
uvig_92124_12	69
uvig_92124_13	81
uvig_92124_14	233
uvig_92258_1	139
uvig_92258_2	158
uvig_92258_3	150
uvig_92258_4	190
uvig_92258_6	115
uvig_92258_9	207
uvig_92258_10	147
uvig_92258_13	253
uvig_92258_14	189
uvig_92258_15	297
uvig_92258_17	263
uvig_92258_18	159
uvig_92258_20	272
uvig_92258_21	127
uvig_92258_22	269
uvig_98139_3	103
uvig_98139_4	101
uvig_98139_5	102
uvig_98139_6	159
uvig_98139_8	132
uvig_98139_9	100
uvig_98139_11	53
uvig_98139_12	164
uvig_98139_13	160
uvig_98139_14	77
uvig_98139_15	271
uvig_98139_16	140
uvig_98139_17	253
uvig_98139_18	92
uvig_98139_19	130
uvig_98139_20	64
uvig_98139_21	78
uvig_98366_1	110
uvig_98366_4	169
uvig_98366_5	59
uvig_98366_7	173
uvig_98366_8	77
uvig_98366_10	277
uvig_98366_11	220
uvig_98366_12	154
uvig_98366_13	94
uvig_98366_15	190
uvig_98366_16	277
uvig_98366_18	122
uvig_98366_19	104
uvig_98366_20	105
uvig_98366_21	122
uvig_98366_22	148
uvig_98366_23	173
uvig_98366_24	206
uvig_98366_26	241
uvig_98366_28	122
uvig_98366_29	97
uvig_98366_31	282
uvig_98366_33	94
uvig_98366_34	108
uvig_98366_35	117
uvig_98366_36	124
uvig_98366_39	120
uvig_98366_40	91
uvig_98366_41	71
uvig_98366_42	58
uvig_98366_43	173
uvig_98366_44	105
uvig_98366_45	149
uvig_98366_46	227
uvig_98366_47	207
uvig_98366_48	81
uvig_98366_49	160
uvig_98366_50	201
uvig_98366_51	71
uvig_98366_53	181
uvig_98366_54	199
uvig_98366_56	216
uvig_98366_58	238
uvig_98366_59	135
uvig_98366_60	84
uvig_98366_61	94
uvig_98366_62	86
uvig_98366_63	106
uvig_98366_64	78
uvig_98366_65	56
uvig_98366_67	66
uvig_98366_68	100
uvig_98366_69	110
uvig_98366_71	234
uvig_98366_73	83
uvig_98366_74	240
uvig_98366_75	87
uvig_98366_76	52
uvig_98366_77	132
uvig_98366_78	67
uvig_98366_80	77
uvig_98916_1	248
uvig_98916_3	204
uvig_98916_4	127
uvig_98916_6	117
uvig_98916_7	270
uvig_98916_8	283
uvig_98916_9	170
uvig_98916_10	223
uvig_98916_11	160
uvig_99078_3	272
uvig_99078_4	228
uvig_99078_5	80
uvig_99078_8	97
uvig_99078_10	124
uvig_99078_11	149
uvig_99078_12	113
uvig_99078_13	93
uvig_99078_14	106
uvig_99078_16	289
uvig_99078_17	163
uvig_99078_18	207
uvig_99078_19	83
uvig_99078_20	84
uvig_99078_21	57
uvig_99078_22	193
uvig_99078_23	237
uvig_99078_24	162
uvig_99078_26	187
uvig_99078_27	231
uvig_99078_29	224
uvig_99078_30	97
uvig_99078_31	213
uvig_99078_32	79
uvig_99078_33	112
uvig_99078_34	63
uvig_99078_35	135
uvig_99078_36	70
uvig_99078_37	97
uvig_99078_39	98
uvig_99689_1	162
uvig_99689_2	186
uvig_99689_3	116
uvig_99689_4	158
uvig_99689_5	157
uvig_99689_8	154
uvig_99689_10	76
uvig_99689_11	139
uvig_99689_14	77
uvig_99689_16	161
uvig_99689_17	80
uvig_99689_18	212
uvig_99689_19	279
uvig_99689_20	146
uvig_99689_21	185
uvig_99689_22	73
uvig_99689_23	221
uvig_99689_24	63
uvig_99689_25	163
uvig_99689_26	77
uvig_99689_27	71
uvig_99689_28	98
uvig_99689_29	206
uvig_99689_30	75
uvig_99689_31	290
uvig_99689_33	120
uvig_99689_34	125
uvig_99689_35	136
uvig_99689_36	68
uvig_99689_37	131
uvig_99689_38	76
uvig_99689_42	220
uvig_99689_44	209
uvig_99689_46	44
uvig_100152_1	81
uvig_100152_2	88
uvig_100152_3	92
uvig_100152_4	60
uvig_100152_5	144
uvig_100152_6	264
uvig_100152_7	149
uvig_100152_8	231
uvig_100152_10	83
uvig_100152_11	91
uvig_100152_12	65
uvig_100152_13	99
uvig_100152_14	264
uvig_100152_15	150
uvig_100152_16	76
uvig_100152_18	83
uvig_100152_19	91
uvig_100152_20	65
uvig_100318_2	157
uvig_100318_3	64
uvig_100318_6	235
uvig_100318_8	105
uvig_100318_9	111
uvig_100318_10	137
uvig_100318_11	113
uvig_100318_12	190
uvig_100318_13	126
uvig_100318_15	238
uvig_100318_17	116
uvig_100318_18	88
uvig_100318_19	126
uvig_100318_20	57
uvig_100318_21	121
uvig_100318_23	55
uvig_100318_24	132
uvig_100318_25	73
uvig_100318_28	52
uvig_104399_1	232
uvig_104399_2	78
uvig_104399_4	101
uvig_104399_5	170
uvig_104399_6	37
uvig_104399_7	147
uvig_104399_8	216
uvig_104399_9	71
uvig_104399_10	89
uvig_104399_11	148
uvig_104399_12	210
uvig_104399_13	77
uvig_104399_15	176
uvig_104399_17	141
uvig_105790_1	162
uvig_105790_4	57
uvig_105790_5	204
uvig_105790_6	229
uvig_105790_7	98
uvig_105790_9	202
uvig_105790_10	61
uvig_105790_11	124
uvig_105790_13	47
uvig_106252_2	78
uvig_106252_3	67
uvig_106252_4	278
uvig_106252_5	158
uvig_106252_8	54
uvig_106252_9	87
uvig_106252_10	110
uvig_106252_11	101
uvig_106252_12	113
uvig_106252_13	83
uvig_106649_1	262
uvig_106649_4	216
uvig_106649_6	145
uvig_106649_9	69
uvig_106649_11	149
uvig_106649_12	70
uvig_106649_13	73
uvig_106649_14	139
uvig_106649_15	63
uvig_106649_16	66
uvig_106649_17	68
uvig_106649_19	289
uvig_106649_20	132
uvig_106649_21	225
uvig_106649_22	78
uvig_106649_24	101
uvig_106649_25	170
uvig_106649_26	65
uvig_106649_27	46
uvig_106649_28	147
uvig_106649_29	216
uvig_106649_30	60
uvig_106649_31	96
uvig_106649_32	148
uvig_106649_33	210
uvig_106649_34	99
uvig_106649_37	141
uvig_106649_39	148
uvig_106649_42	154
uvig_106649_43	128
uvig_106649_44	159
uvig_106649_45	115
uvig_106649_46	186
uvig_106649_47	163
uvig_106649_49	154
uvig_108334_1	70
uvig_108334_2	70
uvig_108334_3	64
uvig_108334_4	66
uvig_108334_6	289
uvig_108334_7	118
uvig_108334_8	225
uvig_108334_9	78
uvig_108334_10	92
uvig_108334_11	112
uvig_108334_12	170
uvig_108334_13	99
uvig_108334_14	86
uvig_108334_15	147
uvig_108334_16	216
uvig_108334_17	71
uvig_108334_18	89
uvig_108334_19	157
uvig_108334_20	210
uvig_108334_21	82
uvig_108334_24	141
uvig_108334_26	148
uvig_108334_29	155
uvig_108334_30	148
uvig_108334_31	118
uvig_108334_32	165
uvig_108334_33	163
uvig_108334_35	156
uvig_108334_37	101
uvig_108334_40	161
uvig_108334_41	80
uvig_108334_42	212
uvig_108334_44	92
ivig_621_1	153
ivig_621_2	106
ivig_621_4	159
ivig_621_5	269
ivig_621_6	100
ivig_621_7	94
ivig_621_8	74
ivig_621_9	215
ivig_621_11	198
ivig_621_13	101
ivig_621_14	146
ivig_621_16	70
ivig_621_17	103
ivig_621_18	144
ivig_621_19	133
ivig_621_20	100
ivig_621_22	43
ivig_621_24	148
ivig_621_26	141
ivig_621_29	206
ivig_621_30	176
ivig_621_31	79
ivig_621_32	262
ivig_621_33	75
ivig_621_34	94
ivig_621_35	68
ivig_621_36	244
ivig_621_37	59
ivig_621_38	175
ivig_621_39	104
ivig_621_40	193
ivig_621_41	157
ivig_621_42	225
ivig_621_43	297
ivig_621_45	60
ivig_621_46	69
ivig_621_47	137
ivig_621_48	91
ivig_621_49	268
ivig_621_50	51
ivig_621_51	63
ivig_621_52	69
ivig_621_53	52
ivig_621_54	134
ivig_621_55	60
ivig_621_56	152
ivig_621_57	93
ivig_2174_1	216
ivig_2174_2	63
ivig_2174_3	97
ivig_2174_4	98
ivig_2174_5	192
ivig_2174_7	117
ivig_2174_8	126
ivig_2174_10	187
ivig_2174_11	183
ivig_2174_12	97
ivig_2174_13	127
ivig_2174_14	129
ivig_2174_16	169
ivig_2174_17	107
ivig_2174_18	126
ivig_2174_20	117
ivig_2174_24	103
ivig_2749_2	108
ivig_2749_3	199
ivig_2749_4	51
ivig_2749_5	99
ivig_2749_6	173
ivig_2749_7	120
ivig_2749_8	255
ivig_2749_10	35
ivig_2749_11	178
ivig_2749_12	180
ivig_2749_13	255
ivig_2749_17	205
ivig_2749_18	200
ivig_2749_19	161
ivig_2749_23	191
ivig_2749_25	188
ivig_2749_26	297
ivig_2749_28	225
ivig_2749_29	107
ivig_2749_30	95
ivig_2749_36	165
ivig_2749_40	254
ivig_2749_49	143
ivig_2749_51	260
ivig_2749_52	254
ivig_2749_53	151
ivig_2749_55	90
ivig_2749_58	234
ivig_2749_59	192
ivig_2749_60	207
ivig_2749_62	165
ivig_2749_63	122
ivig_2749_65	145
ivig_2749_66	79
ivig_2749_67	137
ivig_2749_68	210
ivig_2749_70	263
ivig_2749_71	190
ivig_2749_72	123
ivig_2749_73	169
ivig_2749_74	85
ivig_2749_76	70
ivig_2749_77	79
ivig_2749_78	175
ivig_2749_80	296
ivig_2749_81	152
ivig_2749_82	91
ivig_2749_83	159
ivig_2749_84	106
ivig_2749_85	80
ivig_2749_86	74
ivig_2749_87	215
ivig_2749_88	222
ivig_2749_90	165
ivig_2749_91	159
ivig_2749_93	59
ivig_2749_94	95
ivig_2749_95	241
ivig_2749_96	86
ivig_2749_97	78
ivig_2749_99	96
ivig_2749_100	69
ivig_2749_102	178
ivig_2749_103	71
ivig_2749_104	270
ivig_2749_105	253
ivig_2749_106	299
ivig_2749_107	196
ivig_2749_108	222
ivig_2749_109	196
ivig_2749_111	290
ivig_2749_112	205
ivig_2749_113	116
ivig_2749_114	101
ivig_2749_115	139
ivig_2749_116	172
ivig_2749_117	63
ivig_2749_118	84
ivig_2749_119	167
ivig_2749_120	234
ivig_2749_121	288
ivig_2749_122	158
ivig_2749_123	148
ivig_2749_124	168
ivig_2749_125	196
ivig_2749_126	121
ivig_2749_127	218
ivig_2749_128	102
ivig_2749_129	136
ivig_2749_130	107
ivig_2749_131	195
ivig_2749_132	176
ivig_2749_133	132
ivig_2749_134	67
ivig_2749_135	205
ivig_2749_137	274
ivig_2749_138	173
ivig_2749_139	213
ivig_2749_140	163
ivig_2899_2	108
ivig_2899_3	199
ivig_2899_4	51
ivig_2899_5	99
ivig_2899_6	173
ivig_2899_7	120
ivig_2899_8	255
ivig_2899_10	35
ivig_2899_11	178
ivig_2899_12	180
ivig_2899_13	255
ivig_2899_17	205
ivig_2899_18	200
ivig_2899_19	161
ivig_2899_23	191
ivig_2899_25	188
ivig_2899_26	297
ivig_2899_28	225
ivig_2899_29	107
ivig_2899_30	95
ivig_2899_36	165
ivig_2899_40	254
ivig_2899_49	143
ivig_2899_51	260
ivig_2899_52	254
ivig_2899_53	151
ivig_2899_55	90
ivig_2899_58	234
ivig_2899_59	192
ivig_2899_60	207
ivig_2899_62	165
ivig_2899_63	122
ivig_2899_65	145
ivig_2899_66	79
ivig_2899_67	137
ivig_2899_68	210
ivig_2899_70	263
ivig_2899_71	190
ivig_2899_72	123
ivig_2899_73	169
ivig_2899_74	85
ivig_2899_76	70
ivig_2899_77	79
ivig_2899_78	175
ivig_2899_80	296
ivig_2899_81	152
ivig_2899_82	91
ivig_2899_83	159
ivig_2899_84	106
ivig_2899_85	80
ivig_2899_86	74
ivig_2899_87	215
ivig_2899_88	222
ivig_2899_90	165
ivig_2899_91	159
ivig_2899_93	59
ivig_2899_94	95
ivig_2899_95	241
ivig_2899_96	86
ivig_2899_97	78
ivig_2899_99	96
ivig_2899_100	69
ivig_2899_102	178
ivig_2899_103	71
ivig_2899_104	270
ivig_2899_105	253
ivig_2899_106	299
ivig_2899_107	196
ivig_2899_108	222
ivig_2899_109	196
ivig_2899_111	290
ivig_2899_112	205
ivig_2899_113	116
ivig_2899_114	101
ivig_2899_115	139
ivig_2899_116	172
ivig_2899_117	63
ivig_2899_118	84
ivig_2899_119	167
ivig_2899_120	234
ivig_2899_121	288
ivig_2899_122	158
ivig_2899_123	148
ivig_2899_124	168
ivig_2899_125	196
ivig_2899_126	121
ivig_2899_127	218
ivig_2899_128	102
ivig_2899_129	136
ivig_2899_130	107
ivig_2899_131	195
ivig_2899_132	176
ivig_2899_133	132
ivig_2899_134	67
ivig_2899_135	205
ivig_2899_137	274
ivig_2899_138	173
ivig_2899_139	213
ivig_2899_140	163
uvig_110632_4	86
uvig_110632_5	85
uvig_110632_12	258
uvig_110632_14	58
uvig_110632_15	90
uvig_110632_16	93
uvig_110632_17	144
uvig_110632_20	232
uvig_110632_22	121
uvig_110632_24	232
uvig_110632_26	162
uvig_110632_27	142
uvig_110632_29	267
uvig_110632_31	61
uvig_110632_32	143
uvig_110632_34	260
uvig_110632_35	254
uvig_110632_36	163
uvig_110632_37	151
uvig_110632_39	115
uvig_110632_42	234
uvig_110632_43	192
uvig_110632_44	211
uvig_110632_46	150
uvig_110632_47	112
uvig_110632_49	145
uvig_110632_50	79
uvig_110632_51	133
uvig_110632_52	210
uvig_110632_54	263
uvig_110632_55	190
uvig_110632_56	123
uvig_110632_57	130
uvig_110632_58	85
uvig_110632_59	70
uvig_110632_60	79
uvig_110632_61	175
uvig_110632_63	296
uvig_110632_64	152
uvig_110632_65	91
uvig_110632_66	159
uvig_110632_67	106
uvig_110632_68	59
uvig_110632_69	74
uvig_110632_70	215
uvig_110632_71	222
uvig_110632_73	165
uvig_110632_74	159
uvig_110632_76	81
uvig_110632_77	50
uvig_110632_78	95
uvig_110632_79	241
uvig_110632_80	194
uvig_110632_81	78
uvig_110632_83	115
uvig_110632_84	87
uvig_110632_85	69
uvig_110632_87	178
uvig_110632_88	71
uvig_110632_89	270
uvig_110632_90	253
uvig_110632_91	299
uvig_110632_92	196
uvig_110632_93	222
uvig_110632_94	196
uvig_110632_96	290
uvig_110632_97	223
uvig_110632_98	116
uvig_110632_99	101
uvig_110632_100	142
uvig_110632_101	172
uvig_110632_102	59
uvig_110632_103	97
uvig_110632_104	167
uvig_110632_105	234
uvig_110632_106	300
uvig_110632_107	157
uvig_110632_108	148
uvig_110632_109	168
uvig_110632_110	196
uvig_110632_111	121
uvig_110632_112	218
uvig_110632_113	102
uvig_110632_114	136
uvig_110632_115	107
uvig_110632_116	218
uvig_110632_117	176
uvig_110632_118	132
uvig_110632_119	67
uvig_110632_121	139
uvig_110632_122	177
uvig_110632_123	206
uvig_110632_124	214
uvig_111515_1	65
uvig_111515_2	91
uvig_111515_3	83
uvig_111515_5	76
uvig_111515_6	150
uvig_111515_7	264
uvig_111515_8	99
uvig_111515_9	65
uvig_111515_10	91
uvig_111515_11	83
uvig_111515_13	76
uvig_111515_14	150
uvig_111515_15	264
uvig_111515_16	99
uvig_111515_17	85
uvig_111515_18	77
uvig_111515_19	132
uvig_111515_21	217
uvig_111515_22	167
uvig_111515_23	264
uvig_111515_24	94
uvig_112568_2	247
uvig_112568_5	290
uvig_112568_7	116
uvig_112568_8	133
uvig_112568_9	136
uvig_112568_10	133
uvig_112568_11	100
uvig_112568_12	89
uvig_112568_13	59
uvig_113131_1	162
uvig_113131_2	84
uvig_113131_3	87
uvig_113131_7	70
uvig_113131_8	73
uvig_113131_9	139
uvig_113131_10	63
uvig_113131_11	66
uvig_113131_12	68
uvig_113131_14	289
uvig_113131_15	132
uvig_113131_16	225
uvig_113131_17	78
uvig_113131_18	114
uvig_120986_1	29
uvig_120986_2	145
uvig_120986_3	176
uvig_120986_4	76
uvig_120986_5	49
uvig_120986_6	170
uvig_120986_8	267
uvig_120986_11	271
uvig_120986_13	62
uvig_121436_2	47
uvig_121436_5	163
uvig_121436_6	93
uvig_121436_7	283
uvig_121436_8	79
uvig_121436_9	155
uvig_121436_10	57
uvig_121436_11	285
uvig_121436_12	58
uvig_121436_13	57
uvig_121436_15	75
uvig_121436_16	139
uvig_121436_19	90
uvig_121436_20	179
uvig_121436_21	32
uvig_121436_22	121
uvig_121436_23	114
uvig_121436_24	127
uvig_121436_25	191
uvig_121436_26	298
uvig_121436_28	199
uvig_124379_3	100
uvig_124379_5	89
uvig_124379_6	295
uvig_124379_8	151
uvig_124379_9	224
uvig_124379_10	134
uvig_124379_11	122
uvig_124379_12	36
uvig_125485_1	95
uvig_125485_7	126
uvig_125485_8	169
uvig_125485_9	284
uvig_125485_10	259
uvig_125485_11	203
uvig_125485_12	76
uvig_125485_13	159
uvig_126164_2	164
uvig_126164_3	218
uvig_126164_4	104
uvig_126164_5	181
uvig_126164_6	98
uvig_126164_7	129
uvig_126164_11	183
uvig_126164_13	101
uvig_126164_14	85
uvig_126164_15	105
uvig_126164_16	149
uvig_126164_17	133
uvig_126164_18	151
uvig_126164_19	98
uvig_126164_20	80
uvig_126164_24	84
uvig_126164_25	228
uvig_126164_28	137
uvig_126164_29	155
uvig_126335_1	249
uvig_126335_3	137
uvig_126335_4	159
uvig_126335_5	125
uvig_126335_6	103
uvig_126335_7	102
uvig_126335_8	97
uvig_126335_9	124
uvig_126335_11	71
uvig_126335_12	74
uvig_126335_13	79
uvig_126335_14	141
uvig_126335_16	167
uvig_126335_17	55
uvig_126335_18	216
uvig_126335_19	148
uvig_126335_20	252
uvig_126335_21	139
uvig_128497_1	140
uvig_128497_2	113
uvig_128497_3	120
uvig_128497_4	156
uvig_128497_5	173
uvig_128497_6	75
uvig_128497_9	166
uvig_128497_10	113
uvig_128497_11	220
uvig_128497_12	81
uvig_128497_13	127
uvig_128497_14	212
uvig_128497_15	86
uvig_130390_1	79
uvig_130390_2	192
uvig_130390_3	74
uvig_130390_4	220
uvig_130390_6	260
uvig_130390_7	49
uvig_130390_8	198
uvig_130390_9	128
uvig_130390_10	114
uvig_130390_11	141
uvig_130390_12	270
uvig_130390_13	201
uvig_130390_16	298
uvig_137035_7	70
uvig_137035_8	73
uvig_137035_9	139
uvig_137035_10	63
uvig_137035_11	66
uvig_137035_12	68
uvig_137035_14	289
uvig_137035_15	132
uvig_137035_16	225
uvig_137035_17	78
uvig_137035_19	101
uvig_137035_20	170
uvig_137035_21	65
uvig_137035_22	46
uvig_137035_23	147
uvig_137035_24	216
uvig_137035_25	60
uvig_137035_26	96
uvig_137035_27	148
uvig_137035_28	210
uvig_137035_29	99
uvig_137035_32	141
uvig_137035_34	148
uvig_137035_37	154
uvig_137035_38	128
uvig_137035_39	159
uvig_137035_40	115
uvig_137035_41	186
uvig_137035_42	163
uvig_137671_2	199
uvig_137671_3	56
uvig_137671_4	58
uvig_137671_5	125
uvig_137671_6	120
uvig_137671_7	64
uvig_137671_8	65
uvig_137671_9	49
uvig_137671_10	30
uvig_137671_11	220
uvig_137671_12	106
uvig_137671_13	66
uvig_137671_14	197
uvig_137671_15	186
uvig_137671_16	93
uvig_137671_17	126
uvig_137671_18	225
uvig_137671_19	231
uvig_137671_20	212
uvig_137671_21	298
uvig_137671_22	97
uvig_137671_23	128
uvig_137671_24	165
uvig_137671_25	106
uvig_137671_26	43
uvig_137671_27	171
uvig_137671_28	86
uvig_137671_29	120
uvig_137671_30	87
uvig_137671_31	114
uvig_137671_32	53
uvig_137671_33	95
uvig_137671_34	154
uvig_137671_35	112
uvig_137671_36	106
uvig_137671_37	68
uvig_137671_38	140
uvig_137671_39	102
uvig_137671_42	113
uvig_137671_43	130
uvig_137671_44	215
uvig_137671_46	63
uvig_137671_47	55
uvig_137671_48	197
uvig_137671_49	290
uvig_137671_50	144
uvig_137671_51	149
uvig_137671_52	139
uvig_137671_53	148
uvig_137671_54	173
uvig_137671_55	146
uvig_137671_56	182
uvig_137671_57	219
uvig_137671_59	124
uvig_137671_62	85
uvig_137671_63	100
uvig_137671_65	90
uvig_137671_66	271
uvig_137671_67	46
uvig_137671_68	140
uvig_137671_69	147
uvig_137671_70	70
uvig_137671_71	245
uvig_137671_72	141
uvig_137671_73	130
uvig_137671_74	107
uvig_139142_9	130
uvig_139142_10	283
